# Taxonomic Profiling Output
# git tag version 2.5.1 |  motus version 2.5.1 | map_tax 2.5.1 | gene database: nr2.5.1 | calc_mgc 2.5.1 -y insert.scaled_counts -l 75 | calc_motu 2.5.1 -k mOTU -C precision -g 3 | taxonomy: ref_mOTU_2.5.1 meta_mOTU_2.5.1
# call: python /home/nlapier2/miniconda3/bin/../share/motus-2.5.1//motus profile -C precision -s prokaryotes_PRJEB1787/ERR598957_interleaved.fastq -o prokaryotes_PRJEB1787/results/2motus2_default_ERR598957_interleaved.txt -t 4

@SampleID: unnamed sample
@Version:0.9.3
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@TaxonomyID: Jan 08 2019
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2	superkingdom	2	Bacteria	99.71703044676087
2157	superkingdom	2157	Archaea	0.11014424554700274
2759	superkingdom	2759	Eukaryota	0.1728253076921286
1224	phylum	2|1224	Bacteria|Proteobacteria	46.725775051035626
1239	phylum	2|1239	Bacteria|Firmicutes	0.0041319297065339124
201174	phylum	2|201174	Bacteria|Actinobacteria	7.250553400447092
1117	phylum	2|1117	Bacteria|Cyanobacteria	20.998344911859423
651137	phylum	2157|651137	Archaea|Thaumarchaeota	0.016480950695775463
976	phylum	2|976	Bacteria|Bacteroidetes	13.289723833843931
28890	phylum	2157|28890	Archaea|Euryarchaeota	0.11925052448801424
62680	phylum	2|62680	Bacteria|Candidatus Marinimicrobia	0.02868638285023379
200795	phylum	2|200795	Bacteria|Chloroflexi	8.653892099239293
74201	phylum	2|74201	Bacteria|Verrucomicrobia	2.1011998178038542
203682	phylum	2|203682	Bacteria|Planctomycetes	0.2028470756425228
3041	phylum	2759|3041	Eukaryota|Chlorophyta	0.21297375859853362
142182	phylum	2|142182	Bacteria|Gemmatimonadetes	0.3938557694041614
1936987	phylum	2|1936987	Bacteria|Balneolaeota	0.0022844943849990628
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	19.617783951913133
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	0.0062437979256316535
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	0.04732381513056203
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinobacteria	9.192710396171133
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	48.28225198569754
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	14.452479351762648
200643	class	2|976|200643	Bacteria|Bacteroidetes|Bacteroidia	0.006286062831304582
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	0.2922152194580616
768503	class	2|976|768503	Bacteria|Bacteroidetes|Cytophagia	0.026073050877889182
301297	class	2|200795|301297	Bacteria|Chloroflexi|Dehalococcoidia	6.854282260826921
1553900	class	2|1224|1553900	Bacteria|Proteobacteria|Oligoflexia	0.014816753150187836
203683	class	2|203682|203683	Bacteria|Planctomycetes|Planctomycetia	0.24705371200503182
1035538	class	2759|3041|1035538	Eukaryota|Chlorophyta|Mamiellophyceae	0.3218266540325489
414999	class	2|74201|414999	Bacteria|Verrucomicrobia|Opitutae	0.011684989756792592
219685	class	2|142182|219685	Bacteria|Gemmatimonadetes|Gemmatimonadetes	0.5951591654899269
1853221	class	2|1936987|1853221	Bacteria|Balneolaeota|Balneolia	0.0034521209979972434
203494	class	2|74201|203494	Bacteria|Verrucomicrobia|Verrucomicrobiae	0.01347845513946577
183963	class	2157|28890|183963	Archaea|Euryarchaeota|Halobacteria	0.014878256833212965
135619	order	2|1224|1236|135619	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales	0.9804687518542299
1385	order	2|1239|91061|1385	Bacteria|Firmicutes|Bacilli|Bacillales	0.006927927943369672
80840	order	2|1224|28216|80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	0.022485341421123937
135622	order	2|1224|1236|135622	Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales	2.6950335121060447
85009	order	2|201174|1760|85009	Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales	0.009222337068316483
1890424	order	2|1117||1890424	Bacteria|Cyanobacteria|Cyanobacteria class incertae sedis|Synechococcales	35.207525493316695
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	0.1121130530354201
85006	order	2|201174|1760|85006	Bacteria|Actinobacteria|Actinobacteria|Micrococcales	0.6930799557174018
204457	order	2|1224|28211|204457	Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	1.0287107919020544
54526	order	2|1224|28211|54526	Bacteria|Proteobacteria|Alphaproteobacteria|Pelagibacterales	31.01873776441447
356	order	2|1224|28211|356	Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	0.09486253628346365
204441	order	2|1224|28211|204441	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	0.5761056923129116
200644	order	2|976|117743|200644	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	16.036030753176632
204455	order	2|1224|28211|204455	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales	1.7954289331330344
171549	order	2|976|200643|171549	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	0.006974823794984815
742030	order	2|1224|1236|742030	Bacteria|Proteobacteria|Gammaproteobacteria|Salinisphaerales	0.06384519012980076
1706369	order	2|1224|1236|1706369	Bacteria|Proteobacteria|Gammaproteobacteria|Cellvibrionales	0.00654834215784814
768507	order	2|976|768503|768507	Bacteria|Bacteroidetes|Cytophagia|Cytophagales	0.028929862865085275
1202465	order	2|200795|301297|1202465	Bacteria|Chloroflexi|Dehalococcoidia|Dehalococcoidales	7.605302761575515
2024979	order	2|1224|1553900|2024979	Bacteria|Proteobacteria|Oligoflexia|Bacteriovoracales	0.016440217861280707
112	order	2|203682|203683|112	Bacteria|Planctomycetes|Planctomycetia|Planctomycetales	0.27412327165275974
13792	order	2759|3041|1035538|13792	Eukaryota|Chlorophyta|Mamiellophyceae|Mamiellales	0.3570890499579553
118969	order	2|1224|1236|118969	Bacteria|Proteobacteria|Gammaproteobacteria|Legionellales	0.6998127912135118
219686	order	2|142182|219685|219686	Bacteria|Gemmatimonadetes|Gemmatimonadetes|Gemmatimonadales	0.6603704768253073
1853223	order	2|1936987|1853221|1853223	Bacteria|Balneolaeota|Balneolia|Balneolales	0.0038303682807766136
28256	family	2|1224|1236|135619|28256	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae	0.11242997616475008
90964	family	2|1239|91061|1385|90964	Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae	0.007612792355327709
75682	family	2|1224|28216|80840|75682	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae	0.008185286247715539
72275	family	2|1224|1236|135622|72275	Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae	2.893575432938913
31957	family	2|201174|1760|85009|31957	Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae	0.004548051489243021
1213	family	2|1117||1890424|1213	Bacteria|Cyanobacteria|Cyanobacteria class incertae sedis|Synechococcales|Prochloraceae	38.24248401660659
468	family	2|1224|1236|72274|468	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae	0.035283815083597715
85020	family	2|201174|1760|85006|85020	Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Dermabacteraceae	0.006951886950114567
41297	family	2|1224|28211|204457|41297	Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae	0.1568838871577017
1655514	family	2|1224|28211|54526|1655514	Bacteria|Proteobacteria|Alphaproteobacteria|Pelagibacterales|Pelagibacteraceae	34.08511342137224
224372	family	2|1224|1236|135619|224372	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae	0.1404836087472465
255475	family	2|1224|28211|356|255475	Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Aurantimonadaceae	0.04357281266289517
41295	family	2|1224|28211|204441|41295	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae	0.43571593603323866
267893	family	2|1224|1236|135622|267893	Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Idiomarinaceae	0.05628483813564752
