# Taxonomic Profiling Output
# git tag version 2.5.1 |  motus version 2.5.1 | map_tax 2.5.1 | gene database: nr2.5.1 | calc_mgc 2.5.1 -y insert.scaled_counts -l 75 | calc_motu 2.5.1 -k mOTU -C precision -g 3 | taxonomy: ref_mOTU_2.5.1 meta_mOTU_2.5.1
# call: python /home/nlapier2/miniconda3/bin/../share/motus-2.5.1//motus profile -C precision -s prokaryotes_PRJEB1787/ERR598950_interleaved.fastq -o prokaryotes_PRJEB1787/results/2motus2_default_ERR598950_interleaved.txt -t 4

@SampleID: unnamed sample
@Version:0.9.3
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@TaxonomyID: Jan 08 2019
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2	superkingdom	2	Bacteria	93.03772176748862
2157	superkingdom	2157	Archaea	5.090876573815413
2759	superkingdom	2759	Eukaryota	1.8714016586959745
1224	phylum	2|1224	Bacteria|Proteobacteria	46.74879963209302
1117	phylum	2|1117	Bacteria|Cyanobacteria	14.395963056888794
651137	phylum	2157|651137	Archaea|Thaumarchaeota	3.851746721584769
201174	phylum	2|201174	Bacteria|Actinobacteria	8.191874437922602
28890	phylum	2157|28890	Archaea|Euryarchaeota	1.7709536469470402
200795	phylum	2|200795	Bacteria|Chloroflexi	6.023640172331061
74201	phylum	2|74201	Bacteria|Verrucomicrobia	0.5527138162576845
976	phylum	2|976	Bacteria|Bacteroidetes	16.257331921916972
3041	phylum	2759|3041	Eukaryota|Chlorophyta	2.0668996082407123
142182	phylum	2|142182	Bacteria|Gemmatimonadetes	0.02250966157857503
1936987	phylum	2|1936987	Bacteria|Balneolaeota	0.045302463554364854
203682	phylum	2|203682	Bacteria|Planctomycetes	0.07226486068442226
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	22.762852814742494
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	35.89117523984902
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinobacteria	10.513416547336172
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	0.07306008859997318
