# Taxonomic Profiling Output
# git tag version 2.5.1 |  motus version 2.5.1 | map_tax 2.5.1 | gene database: nr2.5.1 | calc_mgc 2.5.1 -y insert.scaled_counts -l 75 | calc_motu 2.5.1 -k mOTU -C precision -g 3 | taxonomy: ref_mOTU_2.5.1 meta_mOTU_2.5.1
# call: python /home/nlapier2/miniconda3/bin/../share/motus-2.5.1//motus profile -C precision -s prokaryotes_PRJEB1787/ERR598949_interleaved.fastq -o prokaryotes_PRJEB1787/results/2motus2_default_ERR598949_interleaved.txt -t 4

@SampleID: unnamed sample
@Version:0.9.3
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@TaxonomyID: Jan 08 2019
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2	superkingdom	2	Bacteria	92.1114424973922
2157	superkingdom	2157	Archaea	4.7155939924380785
2759	superkingdom	2759	Eukaryota	3.172963510169712
1224	phylum	2|1224	Bacteria|Proteobacteria	51.08676703411417
1117	phylum	2|1117	Bacteria|Cyanobacteria	28.25288536523145
651137	phylum	2157|651137	Archaea|Thaumarchaeota	2.073543288443326
201174	phylum	2|201174	Bacteria|Actinobacteria	4.582274400751503
28890	phylum	2157|28890	Archaea|Euryarchaeota	2.7491259141438276
976	phylum	2|976	Bacteria|Bacteroidetes	3.7372731163699138
62680	phylum	2|62680	Bacteria|Candidatus Marinimicrobia	0.058170420864664826
200795	phylum	2|200795	Bacteria|Chloroflexi	3.630388616434944
74201	phylum	2|74201	Bacteria|Verrucomicrobia	0.4961974398686892
3041	phylum	2759|3041	Eukaryota|Chlorophyta	3.296437041548604
142182	phylum	2|142182	Bacteria|Gemmatimonadetes	0.03693736222891284
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	18.02701805330263
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	60.07962802112896
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinobacteria	6.499614473988623
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	0.18445012031886635
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	4.820529173757497
301297	class	2|200795|301297	Bacteria|Chloroflexi|Dehalococcoidia	4.982425893142152
1035538	class	2759|3041|1035538	Eukaryota|Chlorophyta|Mamiellophyceae	5.251610478643485
219685	class	2|142182|219685	Bacteria|Gemmatimonadetes|Gemmatimonadetes	0.05884554629433489
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	0.04052003660117182
203494	class	2|74201|203494	Bacteria|Verrucomicrobia|Verrucomicrobiae	0.02885100111738764
183963	class	2157|28890|183963	Archaea|Euryarchaeota|Halobacteria	0.026507201704896483
135622	order	2|1224|1236|135622	Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales	1.1140747859736597
1890424	order	2|1117||1890424	Bacteria|Cyanobacteria|Cyanobacteria class incertae sedis|Synechococcales	41.59442895778028
54526	order	2|1224|28211|54526	Bacteria|Proteobacteria|Alphaproteobacteria|Pelagibacterales	37.270856654717576
135619	order	2|1224|1236|135619	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales	0.8307792604806876
204441	order	2|1224|28211|204441	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	0.27881204778605284
204457	order	2|1224|28211|204457	Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	0.24845909844932235
204455	order	2|1224|28211|204455	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales	4.4214957583371035
200644	order	2|976|117743|200644	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	4.454709148917382
135623	order	2|1224|1236|135623	Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales	0.024675230055754074
1202465	order	2|200795|301297|1202465	Bacteria|Chloroflexi|Dehalococcoidia|Dehalococcoidales	4.604319859905026
13792	order	2759|3041|1035538|13792	Eukaryota|Chlorophyta|Mamiellophyceae|Mamiellales	4.853076581948803
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	0.2668675611210809
