tool	rank	metric	sample	value
Gold standard	class	Bray-Curtis distance	CAMI_HIGH_S005	0.0
Gold standard	family	Bray-Curtis distance	CAMI_HIGH_S005	0.0
Gold standard	genus	Bray-Curtis distance	CAMI_HIGH_S005	0.0
Gold standard	order	Bray-Curtis distance	CAMI_HIGH_S005	0.0
Gold standard	phylum	Bray-Curtis distance	CAMI_HIGH_S005	0.0
Gold standard	species	Bray-Curtis distance	CAMI_HIGH_S005	0.0
Gold standard	strain	Bray-Curtis distance	CAMI_HIGH_S005	0.0
Gold standard	superkingdom	Bray-Curtis distance	CAMI_HIGH_S005	0.0
Gold standard	superkingdom	Shannon diversity	CAMI_HIGH_S005	0.07784259589108075
Gold standard	superkingdom	Shannon equitability	CAMI_HIGH_S005	0.11230312706198581
Gold standard	phylum	Shannon diversity	CAMI_HIGH_S005	1.3434002488582926
Gold standard	phylum	Shannon equitability	CAMI_HIGH_S005	0.5406240306745144
Gold standard	class	Shannon diversity	CAMI_HIGH_S005	2.1408541356067374
Gold standard	class	Shannon equitability	CAMI_HIGH_S005	0.7031822492356423
Gold standard	order	Shannon diversity	CAMI_HIGH_S005	2.7827929902628887
Gold standard	order	Shannon equitability	CAMI_HIGH_S005	0.7543735231465599
Gold standard	family	Shannon diversity	CAMI_HIGH_S005	3.7269907950915817
Gold standard	family	Shannon equitability	CAMI_HIGH_S005	0.8324124249575646
Gold standard	genus	Shannon diversity	CAMI_HIGH_S005	4.54648336505639
Gold standard	genus	Shannon equitability	CAMI_HIGH_S005	0.8630610824693873
Gold standard	species	Shannon diversity	CAMI_HIGH_S005	1.9296281268675417
Gold standard	species	Shannon equitability	CAMI_HIGH_S005	0.35128464277546084
Gold standard	strain	Shannon diversity	CAMI_HIGH_S005	6.63993549374075
Gold standard	strain	Shannon equitability	CAMI_HIGH_S005	0.9513966584791121
Gold standard	superkingdom	F1 score	CAMI_HIGH_S005	1.0
Gold standard	superkingdom	False negatives	CAMI_HIGH_S005	0.0
Gold standard	superkingdom	False positives	CAMI_HIGH_S005	0.0
Gold standard	superkingdom	Jaccard index	CAMI_HIGH_S005	1.0
Gold standard	superkingdom	Taxon counts	CAMI_HIGH_S005	2.0
Gold standard	superkingdom	Purity (precision)	CAMI_HIGH_S005	1.0
Gold standard	superkingdom	Completeness (recall)	CAMI_HIGH_S005	1.0
Gold standard	superkingdom	True positives	CAMI_HIGH_S005	2.0
Gold standard	class	F1 score	CAMI_HIGH_S005	1.0
Gold standard	class	False negatives	CAMI_HIGH_S005	0.0
Gold standard	class	False positives	CAMI_HIGH_S005	0.0
Gold standard	class	Jaccard index	CAMI_HIGH_S005	1.0
Gold standard	class	Taxon counts	CAMI_HIGH_S005	21.0
Gold standard	class	Purity (precision)	CAMI_HIGH_S005	1.0
Gold standard	class	Completeness (recall)	CAMI_HIGH_S005	1.0
Gold standard	class	True positives	CAMI_HIGH_S005	21.0
Gold standard	family	F1 score	CAMI_HIGH_S005	1.0
Gold standard	family	False negatives	CAMI_HIGH_S005	0.0
Gold standard	family	False positives	CAMI_HIGH_S005	0.0
Gold standard	family	Jaccard index	CAMI_HIGH_S005	1.0
Gold standard	family	Taxon counts	CAMI_HIGH_S005	88.0
Gold standard	family	Purity (precision)	CAMI_HIGH_S005	1.0
Gold standard	family	Completeness (recall)	CAMI_HIGH_S005	1.0
Gold standard	family	True positives	CAMI_HIGH_S005	88.0
Gold standard	phylum	F1 score	CAMI_HIGH_S005	1.0
Gold standard	phylum	False negatives	CAMI_HIGH_S005	0.0
Gold standard	phylum	False positives	CAMI_HIGH_S005	0.0
Gold standard	phylum	Jaccard index	CAMI_HIGH_S005	1.0
Gold standard	phylum	Taxon counts	CAMI_HIGH_S005	12.0
Gold standard	phylum	Purity (precision)	CAMI_HIGH_S005	1.0
Gold standard	phylum	Completeness (recall)	CAMI_HIGH_S005	1.0
Gold standard	phylum	True positives	CAMI_HIGH_S005	12.0
Gold standard	genus	F1 score	CAMI_HIGH_S005	1.0
Gold standard	genus	False negatives	CAMI_HIGH_S005	0.0
Gold standard	genus	False positives	CAMI_HIGH_S005	0.0
Gold standard	genus	Jaccard index	CAMI_HIGH_S005	1.0
Gold standard	genus	Taxon counts	CAMI_HIGH_S005	194.0
Gold standard	genus	Purity (precision)	CAMI_HIGH_S005	1.0
Gold standard	genus	Completeness (recall)	CAMI_HIGH_S005	1.0
Gold standard	genus	True positives	CAMI_HIGH_S005	194.0
Gold standard	order	F1 score	CAMI_HIGH_S005	1.0
Gold standard	order	False negatives	CAMI_HIGH_S005	0.0
Gold standard	order	False positives	CAMI_HIGH_S005	0.0
Gold standard	order	Jaccard index	CAMI_HIGH_S005	1.0
Gold standard	order	Taxon counts	CAMI_HIGH_S005	40.0
Gold standard	order	Purity (precision)	CAMI_HIGH_S005	1.0
Gold standard	order	Completeness (recall)	CAMI_HIGH_S005	1.0
Gold standard	order	True positives	CAMI_HIGH_S005	40.0
Gold standard	species	F1 score	CAMI_HIGH_S005	1.0
Gold standard	species	False negatives	CAMI_HIGH_S005	0.0
Gold standard	species	False positives	CAMI_HIGH_S005	0.0
Gold standard	species	Jaccard index	CAMI_HIGH_S005	1.0
Gold standard	species	Taxon counts	CAMI_HIGH_S005	243.0
Gold standard	species	Purity (precision)	CAMI_HIGH_S005	1.0
Gold standard	species	Completeness (recall)	CAMI_HIGH_S005	1.0
Gold standard	species	True positives	CAMI_HIGH_S005	243.0
Gold standard	strain	F1 score	CAMI_HIGH_S005	1.0
Gold standard	strain	False negatives	CAMI_HIGH_S005	0.0
Gold standard	strain	False positives	CAMI_HIGH_S005	0.0
Gold standard	strain	Jaccard index	CAMI_HIGH_S005	1.0
Gold standard	strain	Taxon counts	CAMI_HIGH_S005	1074.0
Gold standard	strain	Purity (precision)	CAMI_HIGH_S005	1.0
Gold standard	strain	Completeness (recall)	CAMI_HIGH_S005	1.0
Gold standard	strain	True positives	CAMI_HIGH_S005	1074.0
Gold standard	class	L1 norm error	CAMI_HIGH_S005	0.0
Gold standard	family	L1 norm error	CAMI_HIGH_S005	0.0
Gold standard	genus	L1 norm error	CAMI_HIGH_S005	0.0
Gold standard	order	L1 norm error	CAMI_HIGH_S005	0.0
Gold standard	phylum	L1 norm error	CAMI_HIGH_S005	0.0
Gold standard	species	L1 norm error	CAMI_HIGH_S005	0.0
Gold standard	strain	L1 norm error	CAMI_HIGH_S005	0.0
Gold standard	superkingdom	L1 norm error	CAMI_HIGH_S005	0.0
Gold standard	na	Weighted UniFrac error	CAMI_HIGH_S005	0.0
Gold standard	na	Unweighted UniFrac error	CAMI_HIGH_S005	0.0
metalign_default	class	Bray-Curtis distance	CAMI_HIGH_S005	0.08290982351587156
metalign_default	family	Bray-Curtis distance	CAMI_HIGH_S005	0.153742036536901
metalign_default	genus	Bray-Curtis distance	CAMI_HIGH_S005	0.21360270383755223
metalign_default	order	Bray-Curtis distance	CAMI_HIGH_S005	0.3386971803712965
metalign_default	phylum	Bray-Curtis distance	CAMI_HIGH_S005	0.03301497419696627
metalign_default	species	Bray-Curtis distance	CAMI_HIGH_S005	0.8878456602484698
metalign_default	strain	Bray-Curtis distance	CAMI_HIGH_S005	0.9701513581837017
metalign_default	superkingdom	Bray-Curtis distance	CAMI_HIGH_S005	0.011954118952970988
metalign_default	superkingdom	Shannon diversity	CAMI_HIGH_S005	0.10592250317674132
metalign_default	superkingdom	Shannon equitability	CAMI_HIGH_S005	0.07640693502581508
metalign_default	phylum	Shannon diversity	CAMI_HIGH_S005	1.2207249643076301
metalign_default	phylum	Shannon equitability	CAMI_HIGH_S005	0.491255864445361
metalign_default	class	Shannon diversity	CAMI_HIGH_S005	2.0923704244723296
metalign_default	class	Shannon equitability	CAMI_HIGH_S005	0.6500314203819911
metalign_default	order	Shannon diversity	CAMI_HIGH_S005	2.9858031444965105
metalign_default	order	Shannon equitability	CAMI_HIGH_S005	0.7450848248654671
metalign_default	family	Shannon diversity	CAMI_HIGH_S005	3.631313836118048
metalign_default	family	Shannon equitability	CAMI_HIGH_S005	0.7920042733151426
metalign_default	genus	Shannon diversity	CAMI_HIGH_S005	4.397517881651679
metalign_default	genus	Shannon equitability	CAMI_HIGH_S005	0.8268933169506999
metalign_default	species	Shannon diversity	CAMI_HIGH_S005	6.049535906138996
metalign_default	species	Shannon equitability	CAMI_HIGH_S005	0.8870265968090608
metalign_default	strain	Shannon diversity	CAMI_HIGH_S005	6.04953590613899
metalign_default	strain	Shannon equitability	CAMI_HIGH_S005	0.8870265968090599
metalign_default	superkingdom	F1 score	CAMI_HIGH_S005	0.6666666666666666
metalign_default	superkingdom	False negatives	CAMI_HIGH_S005	0.0
metalign_default	superkingdom	False positives	CAMI_HIGH_S005	2.0
metalign_default	superkingdom	Jaccard index	CAMI_HIGH_S005	0.5
metalign_default	superkingdom	Taxon counts	CAMI_HIGH_S005	4.0
metalign_default	superkingdom	Purity (precision)	CAMI_HIGH_S005	0.5
metalign_default	superkingdom	Completeness (recall)	CAMI_HIGH_S005	1.0
metalign_default	superkingdom	True positives	CAMI_HIGH_S005	2.0
metalign_default	class	F1 score	CAMI_HIGH_S005	0.8695652173913043
metalign_default	class	False negatives	CAMI_HIGH_S005	1.0
metalign_default	class	False positives	CAMI_HIGH_S005	5.0
metalign_default	class	Jaccard index	CAMI_HIGH_S005	0.7692307692307693
metalign_default	class	Taxon counts	CAMI_HIGH_S005	25.0
metalign_default	class	Purity (precision)	CAMI_HIGH_S005	0.8
metalign_default	class	Completeness (recall)	CAMI_HIGH_S005	0.9523809523809523
metalign_default	class	True positives	CAMI_HIGH_S005	20.0
metalign_default	family	F1 score	CAMI_HIGH_S005	0.8602150537634408
metalign_default	family	False negatives	CAMI_HIGH_S005	8.0
metalign_default	family	False positives	CAMI_HIGH_S005	18.0
metalign_default	family	Jaccard index	CAMI_HIGH_S005	0.7547169811320755
metalign_default	family	Taxon counts	CAMI_HIGH_S005	98.0
metalign_default	family	Purity (precision)	CAMI_HIGH_S005	0.8163265306122449
metalign_default	family	Completeness (recall)	CAMI_HIGH_S005	0.9090909090909091
metalign_default	family	True positives	CAMI_HIGH_S005	80.0
metalign_default	phylum	F1 score	CAMI_HIGH_S005	0.9166666666666666
metalign_default	phylum	False negatives	CAMI_HIGH_S005	1.0
metalign_default	phylum	False positives	CAMI_HIGH_S005	1.0
metalign_default	phylum	Jaccard index	CAMI_HIGH_S005	0.8461538461538461
metalign_default	phylum	Taxon counts	CAMI_HIGH_S005	12.0
metalign_default	phylum	Purity (precision)	CAMI_HIGH_S005	0.9166666666666666
metalign_default	phylum	Completeness (recall)	CAMI_HIGH_S005	0.9166666666666666
metalign_default	phylum	True positives	CAMI_HIGH_S005	11.0
metalign_default	genus	F1 score	CAMI_HIGH_S005	0.8291457286432161
metalign_default	genus	False negatives	CAMI_HIGH_S005	29.0
metalign_default	genus	False positives	CAMI_HIGH_S005	39.0
metalign_default	genus	Jaccard index	CAMI_HIGH_S005	0.7081545064377682
metalign_default	genus	Taxon counts	CAMI_HIGH_S005	204.0
metalign_default	genus	Purity (precision)	CAMI_HIGH_S005	0.8088235294117647
metalign_default	genus	Completeness (recall)	CAMI_HIGH_S005	0.8505154639175257
metalign_default	genus	True positives	CAMI_HIGH_S005	165.0
metalign_default	order	F1 score	CAMI_HIGH_S005	0.7789473684210527
metalign_default	order	False negatives	CAMI_HIGH_S005	3.0
metalign_default	order	False positives	CAMI_HIGH_S005	18.0
metalign_default	order	Jaccard index	CAMI_HIGH_S005	0.6379310344827587
metalign_default	order	Taxon counts	CAMI_HIGH_S005	55.0
metalign_default	order	Purity (precision)	CAMI_HIGH_S005	0.6727272727272727
metalign_default	order	Completeness (recall)	CAMI_HIGH_S005	0.925
metalign_default	order	True positives	CAMI_HIGH_S005	37.0
metalign_default	species	F1 score	CAMI_HIGH_S005	0.2657463330457291
metalign_default	species	False negatives	CAMI_HIGH_S005	89.0
metalign_default	species	False positives	CAMI_HIGH_S005	762.0
metalign_default	species	Jaccard index	CAMI_HIGH_S005	0.15323383084577114
metalign_default	species	Taxon counts	CAMI_HIGH_S005	916.0
metalign_default	species	Purity (precision)	CAMI_HIGH_S005	0.16812227074235808
metalign_default	species	Completeness (recall)	CAMI_HIGH_S005	0.6337448559670782
metalign_default	species	True positives	CAMI_HIGH_S005	154.0
metalign_default	strain	F1 score	CAMI_HIGH_S005	0.06030150753768844
metalign_default	strain	False negatives	CAMI_HIGH_S005	1014.0
metalign_default	strain	False positives	CAMI_HIGH_S005	856.0
metalign_default	strain	Jaccard index	CAMI_HIGH_S005	0.031088082901554404
metalign_default	strain	Taxon counts	CAMI_HIGH_S005	916.0
