tool	rank	metric	sample	value
Gold standard	class	Bray-Curtis distance	CAMI_HIGH_S003	0.0
Gold standard	family	Bray-Curtis distance	CAMI_HIGH_S003	0.0
Gold standard	genus	Bray-Curtis distance	CAMI_HIGH_S003	0.0
Gold standard	order	Bray-Curtis distance	CAMI_HIGH_S003	0.0
Gold standard	phylum	Bray-Curtis distance	CAMI_HIGH_S003	0.0
Gold standard	species	Bray-Curtis distance	CAMI_HIGH_S003	0.0
Gold standard	strain	Bray-Curtis distance	CAMI_HIGH_S003	0.0
Gold standard	superkingdom	Bray-Curtis distance	CAMI_HIGH_S003	0.0
Gold standard	superkingdom	Shannon diversity	CAMI_HIGH_S003	0.07437691479129634
Gold standard	superkingdom	Shannon equitability	CAMI_HIGH_S003	0.10730320612602422
Gold standard	phylum	Shannon diversity	CAMI_HIGH_S003	1.378671935192239
Gold standard	phylum	Shannon equitability	CAMI_HIGH_S003	0.5548184014517649
Gold standard	class	Shannon diversity	CAMI_HIGH_S003	2.189811003949687
Gold standard	class	Shannon equitability	CAMI_HIGH_S003	0.7192625604648667
Gold standard	order	Shannon diversity	CAMI_HIGH_S003	2.76983831234455
Gold standard	order	Shannon equitability	CAMI_HIGH_S003	0.7508617038855939
Gold standard	family	Shannon diversity	CAMI_HIGH_S003	3.757017573822795
Gold standard	family	Shannon equitability	CAMI_HIGH_S003	0.8391188176136
Gold standard	genus	Shannon diversity	CAMI_HIGH_S003	4.564469192457857
Gold standard	genus	Shannon equitability	CAMI_HIGH_S003	0.8664753405717096
Gold standard	species	Shannon diversity	CAMI_HIGH_S003	1.9560125126186043
Gold standard	species	Shannon equitability	CAMI_HIGH_S003	0.3560878633516751
Gold standard	strain	Shannon diversity	CAMI_HIGH_S003	6.615646774869308
Gold standard	strain	Shannon equitability	CAMI_HIGH_S003	0.9479164731678524
Gold standard	order	F1 score	CAMI_HIGH_S003	1.0
Gold standard	order	False negatives	CAMI_HIGH_S003	0.0
Gold standard	order	False positives	CAMI_HIGH_S003	0.0
Gold standard	order	Jaccard index	CAMI_HIGH_S003	1.0
Gold standard	order	Taxon counts	CAMI_HIGH_S003	40.0
Gold standard	order	Purity (precision)	CAMI_HIGH_S003	1.0
Gold standard	order	Completeness (recall)	CAMI_HIGH_S003	1.0
Gold standard	order	True positives	CAMI_HIGH_S003	40.0
Gold standard	superkingdom	F1 score	CAMI_HIGH_S003	1.0
Gold standard	superkingdom	False negatives	CAMI_HIGH_S003	0.0
Gold standard	superkingdom	False positives	CAMI_HIGH_S003	0.0
Gold standard	superkingdom	Jaccard index	CAMI_HIGH_S003	1.0
Gold standard	superkingdom	Taxon counts	CAMI_HIGH_S003	2.0
Gold standard	superkingdom	Purity (precision)	CAMI_HIGH_S003	1.0
Gold standard	superkingdom	Completeness (recall)	CAMI_HIGH_S003	1.0
Gold standard	superkingdom	True positives	CAMI_HIGH_S003	2.0
Gold standard	phylum	F1 score	CAMI_HIGH_S003	1.0
