@SampleID:CAMI_MED_S002
@Version:Metalign-v0.2
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2	superkingdom	2	Bacteria	96.97587
2157	superkingdom	2157	Archaea	2.43653
10239	superkingdom	10239	Viruses	0.00422
1224	phylum	2|1224	Bacteria|Proteobacteria	39.15128
201174	phylum	2|201174	Bacteria|Actinobacteria	33.01012
1239	phylum	2|1239	Bacteria|Firmicutes	18.83073
976	phylum	2|976	Bacteria|Bacteroidetes	5.74467
28890	phylum	2157|28890	Archaea|Euryarchaeota	2.43653
544448	phylum	2|544448	Bacteria|Tenericutes	0.23907
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinobacteria	32.8058
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	17.33595
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	14.00057
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	10.83096
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	10.06354
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	4.47418
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	4.25622
183963	class	2157|28890|183963	Archaea|Euryarchaeota|Halobacteria	1.53091
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	1.25621
183967	class	2157|28890|183967	Archaea|Euryarchaeota|Thermoplasmata	0.90563
117747	class	2|976|117747	Bacteria|Bacteroidetes|Sphingobacteriia	0.87918
31969	class	2|544448|31969	Bacteria|Tenericutes|Mollicutes	0.23907
909932	class	2|1239|909932	Bacteria|Firmicutes|Negativicutes	0.23858
768503	class	2|976|768503	Bacteria|Bacteroidetes|Cytophagia	0.21579
84992	class	2|201174|84992	Bacteria|Actinobacteria|Acidimicrobiia	0.20431
200643	class	2|976|200643	Bacteria|Bacteroidetes|Bacteroidia	0.17552
85007	order	2|201174|1760|85007	Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales	15.87312
85006	order	2|201174|1760|85006	Bacteria|Actinobacteria|Actinobacteria|Micrococcales	15.07319
68295	order	2|1239|186801|68295	Bacteria|Firmicutes|Clostridia|Thermoanaerobacterales	11.80754
213115	order	2|1224|28221|213115	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	10.06354
186802	order	2|1239|186801|186802	Bacteria|Firmicutes|Clostridia|Clostridiales	5.52841
135622	order	2|1224|1236|135622	Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales	5.10154
200644	order	2|976|117743|200644	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	4.47418
356	order	2|1224|28211|356	Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	4.43561
204441	order	2|1224|28211|204441	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	3.89267
80840	order	2|1224|28216|80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	3.46676
204455	order	2|1224|28211|204455	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales	2.85078
204457	order	2|1224|28211|204457	Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	2.82151
91347	order	2|1224|1236|91347	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	2.67041
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	2.12972
2235	order	2157|28890|183963|2235	Archaea|Euryarchaeota|Halobacteria|Halobacteriales	1.53091
85011	order	2|201174|1760|85011	Bacteria|Actinobacteria|Actinobacteria|Streptomycetales	1.26432
1385	order	2|1239|91061|1385	Bacteria|Firmicutes|Bacilli|Bacillales	1.20358
2301	order	2157|28890|183967|2301	Archaea|Euryarchaeota|Thermoplasmata|Thermoplasmatales	0.90563
200666	order	2|976|117747|200666	Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales	0.87918
32003	order	2|1224|28216|32003	Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales	0.78946
118969	order	2|1224|1236|118969	Bacteria|Proteobacteria|Gammaproteobacteria|Legionellales	0.64817
85010	order	2|201174|1760|85010	Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales	0.31349
85009	order	2|201174|1760|85009	Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales	0.2817
135623	order	2|1224|1236|135623	Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales	0.28111
186329	order	2|544448|31969|186329	Bacteria|Tenericutes|Mollicutes|Acholeplasmatales	0.23907
909929	order	2|1239|909932|909929	Bacteria|Firmicutes|Negativicutes|Selenomonadales	0.23858
768507	order	2|976|768503|768507	Bacteria|Bacteroidetes|Cytophagia|Cytophagales	0.21579
84993	order	2|201174|84992|84993	Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales	0.20431
171549	order	2|976|200643|171549	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	0.17552
186826	order	2|1239|91061|186826	Bacteria|Firmicutes|Bacilli|Lactobacillales	0.05263
28883	order	10239|||28883	Viruses|||Caudovirales	0.00049
85025	family	2|201174|1760|85007|85025	Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales|Nocardiaceae	15.62567
186814	family	2|1239|186801|68295|186814	Bacteria|Firmicutes|Clostridia|Thermoanaerobacterales|Thermoanaerobacteraceae	11.80754
85016	family	2|201174|1760|85006|85016	Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Cellulomonadaceae	10.47494
194924	family	2|1224|28221|213115|194924	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae	10.06354
267892	family	2|1224|1236|135622|267892	Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Ferrimonadaceae	5.10154
49546	family	2|976|117743|200644|49546	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae	4.47418
