@SampleID:CAMI_HIGH_S001
@Version:Metalign-v0.2
@Ranks: superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2	superkingdom	2	Bacteria	92.1308
2759	superkingdom	2759	Eukaryota	0.65836
2157	superkingdom	2157	Archaea	0.37087
10239	superkingdom	10239	Viruses	0.10592
1224	phylum	2|1224	Bacteria|Proteobacteria	51.14475
201174	phylum	2|201174	Bacteria|Actinobacteria	20.64782
976	phylum	2|976	Bacteria|Bacteroidetes	9.78823
1239	phylum	2|1239	Bacteria|Firmicutes	9.20655
74201	phylum	2|74201	Bacteria|Verrucomicrobia	0.79923
28890	phylum	2157|28890	Archaea|Euryarchaeota	0.37087
203691	phylum	2|203691	Bacteria|Spirochaetes	0.34975
200918	phylum	2|200918	Bacteria|Thermotogae	0.12093
544448	phylum	2|544448	Bacteria|Tenericutes	0.07353
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	29.69807
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinobacteria	20.64782
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	9.22604
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	7.18734
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	5.63231
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	5.01351
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	4.35738
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	4.346
768503	class	2|976|768503	Bacteria|Bacteroidetes|Cytophagia	2.48999
117747	class	2|976|117747	Bacteria|Bacteroidetes|Sphingobacteriia	1.10417
203494	class	2|74201|203494	Bacteria|Verrucomicrobia|Verrucomicrobiae	0.79923
4762	class	2759||4762	Eukaryota||Oomycetes	0.65835
183963	class	2157|28890|183963	Archaea|Euryarchaeota|Halobacteria	0.37087
200643	class	2|976|200643	Bacteria|Bacteroidetes|Bacteroidia	0.35282
203692	class	2|203691|203692	Bacteria|Spirochaetes|Spirochaetia	0.34975
1737404	class	2|1239|1737404	Bacteria|Firmicutes|Tissierellia	0.28608
1853228	class	2|976|1853228	Bacteria|Bacteroidetes|Chitinophagia	0.20721
909932	class	2|1239|909932	Bacteria|Firmicutes|Negativicutes	0.19343
188708	class	2|200918|188708	Bacteria|Thermotogae|Thermotogae	0.12093
31969	class	2|544448|31969	Bacteria|Tenericutes|Mollicutes	0.07353
29547	class	2|1224|29547	Bacteria|Proteobacteria|Epsilonproteobacteria	0.01978
356	order	2|1224|28211|356	Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	20.99291
85006	order	2|201174|1760|85006	Bacteria|Actinobacteria|Actinobacteria|Micrococcales	10.58867
80840	order	2|1224|28216|80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	7.17412
200644	order	2|976|117743|200644	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	5.63231
204457	order	2|1224|28211|204457	Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	5.53346
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	5.10494
1385	order	2|1239|91061|1385	Bacteria|Firmicutes|Bacilli|Bacillales	4.12447
186802	order	2|1239|186801|186802	Bacteria|Firmicutes|Clostridia|Clostridiales	3.93459
85009	order	2|201174|1760|85009	Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales	3.77264
213118	order	2|1224|28221|213118	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales	2.58219
768507	order	2|976|768503|768507	Bacteria|Bacteroidetes|Cytophagia|Cytophagales	2.48999
85007	order	2|201174|1760|85007	Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales	2.30599
85010	order	2|201174|1760|85010	Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales	2.27738
135614	order	2|1224|1236|135614	Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales	2.17646
213115	order	2|1224|28221|213115	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	1.93165
204455	order	2|1224|28211|204455	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales	1.52121
85011	order	2|201174|1760|85011	Bacteria|Actinobacteria|Actinobacteria|Streptomycetales	1.35432
204458	order	2|1224|28211|204458	Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales	1.3419
200666	order	2|976|117747|200666	Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales	1.10417
91347	order	2|1224|1236|91347	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	1.01838
48461	order	2|74201|203494|48461	Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	0.79923
4776	order	2759||4762|4776	Eukaryota||Oomycetes|Peronosporales	0.65835
135619	order	2|1224|1236|135619	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales	0.46613
68295	order	2|1239|186801|68295	Bacteria|Firmicutes|Clostridia|Thermoanaerobacterales	0.37095
2235	order	2157|28890|183963|2235	Archaea|Euryarchaeota|Halobacteria|Halobacteriales	0.37087
136	order	2|203691|203692|136	Bacteria|Spirochaetes|Spirochaetia|Spirochaetales	0.34975
171549	order	2|976|200643|171549	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	0.32505
204441	order	2|1224|28211|204441	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	0.3086
213462	order	2|1224|28221|213462	Bacteria|Proteobacteria|Deltaproteobacteria|Syntrophobacterales	0.26748
135623	order	2|1224|1236|135623	Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales	0.23587
69541	order	2|1224|28221|69541	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfuromonadales	0.23219
186826	order	2|1239|91061|186826	Bacteria|Firmicutes|Bacilli|Lactobacillales	0.22153
1853229	order	2|976|1853228|1853229	Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales	0.20721
1643682	order	2|201174|1760|1643682	Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales	0.20023
135624	order	2|1224|1236|135624	Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales	0.17027
