tool	rank	metric	sample	value
Gold standard	class	Bray-Curtis distance	CAMI_HIGH_S001	0.0
Gold standard	family	Bray-Curtis distance	CAMI_HIGH_S001	0.0
Gold standard	genus	Bray-Curtis distance	CAMI_HIGH_S001	0.0
Gold standard	order	Bray-Curtis distance	CAMI_HIGH_S001	0.0
Gold standard	phylum	Bray-Curtis distance	CAMI_HIGH_S001	0.0
Gold standard	species	Bray-Curtis distance	CAMI_HIGH_S001	0.0
Gold standard	strain	Bray-Curtis distance	CAMI_HIGH_S001	0.0
Gold standard	superkingdom	Bray-Curtis distance	CAMI_HIGH_S001	0.0
Gold standard	superkingdom	Shannon diversity	CAMI_HIGH_S001	0.04991023029896582
Gold standard	superkingdom	Shannon equitability	CAMI_HIGH_S001	0.07200524174194407
Gold standard	phylum	Shannon diversity	CAMI_HIGH_S001	1.3373373713792505
Gold standard	phylum	Shannon equitability	CAMI_HIGH_S001	0.5381841492892079
Gold standard	class	Shannon diversity	CAMI_HIGH_S001	2.1324296375218763
Gold standard	class	Shannon equitability	CAMI_HIGH_S001	0.7004151492200613
Gold standard	order	Shannon diversity	CAMI_HIGH_S001	2.6998583008255324
Gold standard	order	Shannon equitability	CAMI_HIGH_S001	0.7318911703158472
Gold standard	family	Shannon diversity	CAMI_HIGH_S001	3.713977448239923
Gold standard	family	Shannon equitability	CAMI_HIGH_S001	0.8295059322385943
Gold standard	genus	Shannon diversity	CAMI_HIGH_S001	4.481028706692804
Gold standard	genus	Shannon equitability	CAMI_HIGH_S001	0.8506357937871225
Gold standard	species	Shannon diversity	CAMI_HIGH_S001	1.915919187862546
Gold standard	species	Shannon equitability	CAMI_HIGH_S001	0.34878895996790443
Gold standard	strain	Shannon diversity	CAMI_HIGH_S001	6.359206427713491
Gold standard	strain	Shannon equitability	CAMI_HIGH_S001	0.911172669012939
Gold standard	superkingdom	F1 score	CAMI_HIGH_S001	1.0
Gold standard	superkingdom	False negatives	CAMI_HIGH_S001	0.0
Gold standard	superkingdom	False positives	CAMI_HIGH_S001	0.0
Gold standard	superkingdom	Jaccard index	CAMI_HIGH_S001	1.0
Gold standard	superkingdom	Taxon counts	CAMI_HIGH_S001	2.0
Gold standard	superkingdom	Purity (precision)	CAMI_HIGH_S001	1.0
Gold standard	superkingdom	Completeness (recall)	CAMI_HIGH_S001	1.0
Gold standard	superkingdom	True positives	CAMI_HIGH_S001	2.0
Gold standard	genus	F1 score	CAMI_HIGH_S001	1.0
Gold standard	genus	False negatives	CAMI_HIGH_S001	0.0
Gold standard	genus	False positives	CAMI_HIGH_S001	0.0
Gold standard	genus	Jaccard index	CAMI_HIGH_S001	1.0
Gold standard	genus	Taxon counts	CAMI_HIGH_S001	194.0
Gold standard	genus	Purity (precision)	CAMI_HIGH_S001	1.0
Gold standard	genus	Completeness (recall)	CAMI_HIGH_S001	1.0
Gold standard	genus	True positives	CAMI_HIGH_S001	194.0
Gold standard	order	F1 score	CAMI_HIGH_S001	1.0
Gold standard	order	False negatives	CAMI_HIGH_S001	0.0
Gold standard	order	False positives	CAMI_HIGH_S001	0.0
Gold standard	order	Jaccard index	CAMI_HIGH_S001	1.0
Gold standard	order	Taxon counts	CAMI_HIGH_S001	40.0
Gold standard	order	Purity (precision)	CAMI_HIGH_S001	1.0
Gold standard	order	Completeness (recall)	CAMI_HIGH_S001	1.0
Gold standard	order	True positives	CAMI_HIGH_S001	40.0
Gold standard	family	F1 score	CAMI_HIGH_S001	1.0
Gold standard	family	False negatives	CAMI_HIGH_S001	0.0
Gold standard	family	False positives	CAMI_HIGH_S001	0.0
Gold standard	family	Jaccard index	CAMI_HIGH_S001	1.0
Gold standard	family	Taxon counts	CAMI_HIGH_S001	88.0
Gold standard	family	Purity (precision)	CAMI_HIGH_S001	1.0
Gold standard	family	Completeness (recall)	CAMI_HIGH_S001	1.0
Gold standard	family	True positives	CAMI_HIGH_S001	88.0
Gold standard	strain	F1 score	CAMI_HIGH_S001	1.0
Gold standard	strain	False negatives	CAMI_HIGH_S001	0.0
Gold standard	strain	False positives	CAMI_HIGH_S001	0.0
Gold standard	strain	Jaccard index	CAMI_HIGH_S001	1.0
Gold standard	strain	Taxon counts	CAMI_HIGH_S001	1074.0
Gold standard	strain	Purity (precision)	CAMI_HIGH_S001	1.0
Gold standard	strain	Completeness (recall)	CAMI_HIGH_S001	1.0
Gold standard	strain	True positives	CAMI_HIGH_S001	1074.0
Gold standard	phylum	F1 score	CAMI_HIGH_S001	1.0
Gold standard	phylum	False negatives	CAMI_HIGH_S001	0.0
Gold standard	phylum	False positives	CAMI_HIGH_S001	0.0
Gold standard	phylum	Jaccard index	CAMI_HIGH_S001	1.0
Gold standard	phylum	Taxon counts	CAMI_HIGH_S001	12.0
Gold standard	phylum	Purity (precision)	CAMI_HIGH_S001	1.0
Gold standard	phylum	Completeness (recall)	CAMI_HIGH_S001	1.0
Gold standard	phylum	True positives	CAMI_HIGH_S001	12.0
Gold standard	class	F1 score	CAMI_HIGH_S001	1.0
Gold standard	class	False negatives	CAMI_HIGH_S001	0.0
Gold standard	class	False positives	CAMI_HIGH_S001	0.0
Gold standard	class	Jaccard index	CAMI_HIGH_S001	1.0
Gold standard	class	Taxon counts	CAMI_HIGH_S001	21.0
Gold standard	class	Purity (precision)	CAMI_HIGH_S001	1.0
Gold standard	class	Completeness (recall)	CAMI_HIGH_S001	1.0
Gold standard	class	True positives	CAMI_HIGH_S001	21.0
Gold standard	species	F1 score	CAMI_HIGH_S001	1.0
Gold standard	species	False negatives	CAMI_HIGH_S001	0.0
Gold standard	species	False positives	CAMI_HIGH_S001	0.0
Gold standard	species	Jaccard index	CAMI_HIGH_S001	1.0
Gold standard	species	Taxon counts	CAMI_HIGH_S001	243.0
Gold standard	species	Purity (precision)	CAMI_HIGH_S001	1.0
Gold standard	species	Completeness (recall)	CAMI_HIGH_S001	1.0
Gold standard	species	True positives	CAMI_HIGH_S001	243.0
Gold standard	class	L1 norm error	CAMI_HIGH_S001	0.0
Gold standard	family	L1 norm error	CAMI_HIGH_S001	0.0
Gold standard	genus	L1 norm error	CAMI_HIGH_S001	0.0
Gold standard	order	L1 norm error	CAMI_HIGH_S001	0.0
Gold standard	phylum	L1 norm error	CAMI_HIGH_S001	0.0
Gold standard	species	L1 norm error	CAMI_HIGH_S001	0.0
Gold standard	strain	L1 norm error	CAMI_HIGH_S001	0.0
Gold standard	superkingdom	L1 norm error	CAMI_HIGH_S001	0.0
Gold standard	na	Weighted UniFrac error	CAMI_HIGH_S001	0.0
Gold standard	na	Unweighted UniFrac error	CAMI_HIGH_S001	0.0
metalign_default	class	Bray-Curtis distance	CAMI_HIGH_S001	0.08280585687722519
metalign_default	family	Bray-Curtis distance	CAMI_HIGH_S001	0.15134860868610833
metalign_default	genus	Bray-Curtis distance	CAMI_HIGH_S001	0.20322558430672225
metalign_default	order	Bray-Curtis distance	CAMI_HIGH_S001	0.3385348395038395
metalign_default	phylum	Bray-Curtis distance	CAMI_HIGH_S001	0.04817644968805498
metalign_default	species	Bray-Curtis distance	CAMI_HIGH_S001	0.892490240709631
metalign_default	strain	Bray-Curtis distance	CAMI_HIGH_S001	0.9647146824321418
metalign_default	superkingdom	Bray-Curtis distance	CAMI_HIGH_S001	0.008194630516281616
metalign_default	superkingdom	Shannon diversity	CAMI_HIGH_S001	0.07674287987319522
metalign_default	superkingdom	Shannon equitability	CAMI_HIGH_S001	0.0553582861082981
metalign_default	phylum	Shannon diversity	CAMI_HIGH_S001	1.2283082424032319
metalign_default	phylum	Shannon equitability	CAMI_HIGH_S001	0.5590271723122439
metalign_default	class	Shannon diversity	CAMI_HIGH_S001	2.087992907393265
metalign_default	class	Shannon equitability	CAMI_HIGH_S001	0.6858195168877079
metalign_default	order	Shannon diversity	CAMI_HIGH_S001	2.8844765722510415
metalign_default	order	Shannon equitability	CAMI_HIGH_S001	0.7451115465519476
metalign_default	family	Shannon diversity	CAMI_HIGH_S001	3.5943071956786077
metalign_default	family	Shannon equitability	CAMI_HIGH_S001	0.8090455424399217
metalign_default	genus	Shannon diversity	CAMI_HIGH_S001	4.304756879580429
metalign_default	genus	Shannon equitability	CAMI_HIGH_S001	0.8289606486605949
metalign_default	species	Shannon diversity	CAMI_HIGH_S001	5.875673236641669
metalign_default	species	Shannon equitability	CAMI_HIGH_S001	0.858145469716501
metalign_default	strain	Shannon diversity	CAMI_HIGH_S001	5.875673236641665
metalign_default	strain	Shannon equitability	CAMI_HIGH_S001	0.8581454697165004
metalign_default	superkingdom	F1 score	CAMI_HIGH_S001	0.6666666666666666
metalign_default	superkingdom	False negatives	CAMI_HIGH_S001	0.0
metalign_default	superkingdom	False positives	CAMI_HIGH_S001	2.0
metalign_default	superkingdom	Jaccard index	CAMI_HIGH_S001	0.5
metalign_default	superkingdom	Taxon counts	CAMI_HIGH_S001	4.0
metalign_default	superkingdom	Purity (precision)	CAMI_HIGH_S001	0.5
metalign_default	superkingdom	Completeness (recall)	CAMI_HIGH_S001	1.0
metalign_default	superkingdom	True positives	CAMI_HIGH_S001	2.0
metalign_default	genus	F1 score	CAMI_HIGH_S001	0.7914438502673796
metalign_default	genus	False negatives	CAMI_HIGH_S001	46.0
metalign_default	genus	False positives	CAMI_HIGH_S001	32.0
metalign_default	genus	Jaccard index	CAMI_HIGH_S001	0.6548672566371682
metalign_default	genus	Taxon counts	CAMI_HIGH_S001	180.0
metalign_default	genus	Purity (precision)	CAMI_HIGH_S001	0.8222222222222222
metalign_default	genus	Completeness (recall)	CAMI_HIGH_S001	0.7628865979381443
metalign_default	genus	True positives	CAMI_HIGH_S001	148.0
metalign_default	order	F1 score	CAMI_HIGH_S001	0.7727272727272727
metalign_default	order	False negatives	CAMI_HIGH_S001	6.0
metalign_default	order	False positives	CAMI_HIGH_S001	14.0
metalign_default	order	Jaccard index	CAMI_HIGH_S001	0.6296296296296297
metalign_default	order	Taxon counts	CAMI_HIGH_S001	48.0
metalign_default	order	Purity (precision)	CAMI_HIGH_S001	0.7083333333333334
metalign_default	order	Completeness (recall)	CAMI_HIGH_S001	0.85
metalign_default	order	True positives	CAMI_HIGH_S001	34.0
metalign_default	family	F1 score	CAMI_HIGH_S001	0.8323699421965318
metalign_default	family	False negatives	CAMI_HIGH_S001	16.0
metalign_default	family	False positives	CAMI_HIGH_S001	13.0
metalign_default	family	Jaccard index	CAMI_HIGH_S001	0.7128712871287128
metalign_default	family	Taxon counts	CAMI_HIGH_S001	85.0
metalign_default	family	Purity (precision)	CAMI_HIGH_S001	0.8470588235294118
metalign_default	family	Completeness (recall)	CAMI_HIGH_S001	0.8181818181818182
metalign_default	family	True positives	CAMI_HIGH_S001	72.0
metalign_default	strain	F1 score	CAMI_HIGH_S001	0.05459057071960298
metalign_default	strain	False negatives	CAMI_HIGH_S001	1019.0
metalign_default	strain	False positives	CAMI_HIGH_S001	886.0
metalign_default	strain	Jaccard index	CAMI_HIGH_S001	0.02806122448979592
metalign_default	strain	Taxon counts	CAMI_HIGH_S001	941.0
metalign_default	strain	Purity (precision)	CAMI_HIGH_S001	0.05844845908607864
metalign_default	strain	Completeness (recall)	CAMI_HIGH_S001	0.051210428305400374
metalign_default	strain	True positives	CAMI_HIGH_S001	55.0
metalign_default	phylum	F1 score	CAMI_HIGH_S001	0.8571428571428571
metalign_default	phylum	False negatives	CAMI_HIGH_S001	3.0
metalign_default	phylum	False positives	CAMI_HIGH_S001	0.0
metalign_default	phylum	Jaccard index	CAMI_HIGH_S001	0.75
metalign_default	phylum	Taxon counts	CAMI_HIGH_S001	9.0
metalign_default	phylum	Purity (precision)	CAMI_HIGH_S001	1.0
metalign_default	phylum	Completeness (recall)	CAMI_HIGH_S001	0.75
metalign_default	phylum	True positives	CAMI_HIGH_S001	9.0
metalign_default	class	F1 score	CAMI_HIGH_S001	0.8571428571428571
metalign_default	class	False negatives	CAMI_HIGH_S001	3.0
metalign_default	class	False positives	CAMI_HIGH_S001	3.0
metalign_default	class	Jaccard index	CAMI_HIGH_S001	0.75
metalign_default	class	Taxon counts	CAMI_HIGH_S001	21.0
metalign_default	class	Purity (precision)	CAMI_HIGH_S001	0.8571428571428571
metalign_default	class	Completeness (recall)	CAMI_HIGH_S001	0.8571428571428571
metalign_default	class	True positives	CAMI_HIGH_S001	18.0
metalign_default	species	F1 score	CAMI_HIGH_S001	0.2347972972972973
metalign_default	species	False negatives	CAMI_HIGH_S001	104.0
metalign_default	species	False positives	CAMI_HIGH_S001	802.0
metalign_default	species	Jaccard index	CAMI_HIGH_S001	0.13301435406698564
metalign_default	species	Taxon counts	CAMI_HIGH_S001	941.0
metalign_default	species	Purity (precision)	CAMI_HIGH_S001	0.14771519659936239
metalign_default	species	Completeness (recall)	CAMI_HIGH_S001	0.5720164609053497
metalign_default	species	True positives	CAMI_HIGH_S001	139.0
metalign_default	class	L1 norm error	CAMI_HIGH_S001	0.16561171375445038
metalign_default	family	L1 norm error	CAMI_HIGH_S001	0.3026972173722166
metalign_default	genus	L1 norm error	CAMI_HIGH_S001	0.4064511686134445
metalign_default	order	L1 norm error	CAMI_HIGH_S001	0.6770696790076789
metalign_default	phylum	L1 norm error	CAMI_HIGH_S001	0.09635289937610997
metalign_default	species	L1 norm error	CAMI_HIGH_S001	1.7849804814192598
metalign_default	strain	L1 norm error	CAMI_HIGH_S001	1.9294293648642833
metalign_default	superkingdom	L1 norm error	CAMI_HIGH_S001	0.016389261032563232
metalign_default	na	Weighted UniFrac error	CAMI_HIGH_S001	8.622873785182689
metalign_default	na	Unweighted UniFrac error	CAMI_HIGH_S001	9580.981706283312
metalign_precise	class	Bray-Curtis distance	CAMI_HIGH_S001	0.08073885866570191
metalign_precise	family	Bray-Curtis distance	CAMI_HIGH_S001	0.15567090469969486
metalign_precise	genus	Bray-Curtis distance	CAMI_HIGH_S001	0.21741992657585044
metalign_precise	order	Bray-Curtis distance	CAMI_HIGH_S001	0.3406853366241674
metalign_precise	phylum	Bray-Curtis distance	CAMI_HIGH_S001	0.045975443048429064
metalign_precise	species	Bray-Curtis distance	CAMI_HIGH_S001	0.9105575792698072
metalign_precise	strain	Bray-Curtis distance	CAMI_HIGH_S001	0.971073739663657
metalign_precise	superkingdom	Bray-Curtis distance	CAMI_HIGH_S001	0.00833787589813051
metalign_precise	superkingdom	Shannon diversity	CAMI_HIGH_S001	0.07776654945148559
metalign_precise	superkingdom	Shannon equitability	CAMI_HIGH_S001	0.0560967076203523
metalign_precise	phylum	Shannon diversity	CAMI_HIGH_S001	1.2266481612960025
metalign_precise	phylum	Shannon equitability	CAMI_HIGH_S001	0.5898930730724361
metalign_precise	class	Shannon diversity	CAMI_HIGH_S001	2.0870610018744715
metalign_precise	class	Shannon equitability	CAMI_HIGH_S001	0.7088144861012914
metalign_precise	order	Shannon diversity	CAMI_HIGH_S001	2.856467209645475
metalign_precise	order	Shannon equitability	CAMI_HIGH_S001	0.7910640116306948
metalign_precise	family	Shannon diversity	CAMI_HIGH_S001	3.5424583330192414
metalign_precise	family	Shannon equitability	CAMI_HIGH_S001	0.8617287832380678
metalign_precise	genus	Shannon diversity	CAMI_HIGH_S001	4.17299150620968
metalign_precise	genus	Shannon equitability	CAMI_HIGH_S001	0.8794628444241078
metalign_precise	species	Shannon diversity	CAMI_HIGH_S001	5.376971062366317
metalign_precise	species	Shannon equitability	CAMI_HIGH_S001	0.9560729596682033
metalign_precise	strain	Shannon diversity	CAMI_HIGH_S001	5.376971062366319
metalign_precise	strain	Shannon equitability	CAMI_HIGH_S001	0.9560729596682038
metalign_precise	superkingdom	F1 score	CAMI_HIGH_S001	0.6666666666666666
metalign_precise	superkingdom	False negatives	CAMI_HIGH_S001	0.0
metalign_precise	superkingdom	False positives	CAMI_HIGH_S001	2.0
metalign_precise	superkingdom	Jaccard index	CAMI_HIGH_S001	0.5
metalign_precise	superkingdom	Taxon counts	CAMI_HIGH_S001	4.0
metalign_precise	superkingdom	Purity (precision)	CAMI_HIGH_S001	0.5
metalign_precise	superkingdom	Completeness (recall)	CAMI_HIGH_S001	1.0
metalign_precise	superkingdom	True positives	CAMI_HIGH_S001	2.0
metalign_precise	genus	F1 score	CAMI_HIGH_S001	0.6666666666666667
metalign_precise	genus	False negatives	CAMI_HIGH_S001	91.0
metalign_precise	genus	False positives	CAMI_HIGH_S001	12.0
metalign_precise	genus	Jaccard index	CAMI_HIGH_S001	0.5
metalign_precise	genus	Taxon counts	CAMI_HIGH_S001	115.0
metalign_precise	genus	Purity (precision)	CAMI_HIGH_S001	0.8956521739130435
metalign_precise	genus	Completeness (recall)	CAMI_HIGH_S001	0.5309278350515464
metalign_precise	genus	True positives	CAMI_HIGH_S001	103.0
metalign_precise	order	F1 score	CAMI_HIGH_S001	0.7272727272727273
metalign_precise	order	False negatives	CAMI_HIGH_S001	12.0
metalign_precise	order	False positives	CAMI_HIGH_S001	9.0
metalign_precise	order	Jaccard index	CAMI_HIGH_S001	0.5714285714285714
metalign_precise	order	Taxon counts	CAMI_HIGH_S001	37.0
metalign_precise	order	Purity (precision)	CAMI_HIGH_S001	0.7567567567567568
metalign_precise	order	Completeness (recall)	CAMI_HIGH_S001	0.7
metalign_precise	order	True positives	CAMI_HIGH_S001	28.0
metalign_precise	family	F1 score	CAMI_HIGH_S001	0.697986577181208
metalign_precise	family	False negatives	CAMI_HIGH_S001	36.0
metalign_precise	family	False positives	CAMI_HIGH_S001	9.0
metalign_precise	family	Jaccard index	CAMI_HIGH_S001	0.5360824742268041
metalign_precise	family	Taxon counts	CAMI_HIGH_S001	61.0
metalign_precise	family	Purity (precision)	CAMI_HIGH_S001	0.8524590163934426
metalign_precise	family	Completeness (recall)	CAMI_HIGH_S001	0.5909090909090909
metalign_precise	family	True positives	CAMI_HIGH_S001	52.0
metalign_precise	strain	F1 score	CAMI_HIGH_S001	0.039970392301998524
metalign_precise	strain	False negatives	CAMI_HIGH_S001	1047.0
metalign_precise	strain	False positives	CAMI_HIGH_S001	250.0
