tool	rank	metric	sample	value
Gold standard	class	Bray-Curtis distance	CAMI_MED_S001	0.0
Gold standard	family	Bray-Curtis distance	CAMI_MED_S001	0.0
Gold standard	genus	Bray-Curtis distance	CAMI_MED_S001	0.0
Gold standard	order	Bray-Curtis distance	CAMI_MED_S001	0.0
Gold standard	phylum	Bray-Curtis distance	CAMI_MED_S001	0.0
Gold standard	species	Bray-Curtis distance	CAMI_MED_S001	0.0
Gold standard	strain	Bray-Curtis distance	CAMI_MED_S001	0.0
Gold standard	superkingdom	Bray-Curtis distance	CAMI_MED_S001	0.0
Gold standard	superkingdom	Shannon diversity	CAMI_MED_S001	0.6610013072694895
Gold standard	superkingdom	Shannon equitability	CAMI_MED_S001	0.6016693187283085
Gold standard	phylum	Shannon diversity	CAMI_MED_S001	0.952650146931384
Gold standard	phylum	Shannon equitability	CAMI_MED_S001	0.5316841703880124
Gold standard	class	Shannon diversity	CAMI_MED_S001	1.5306160943793035
Gold standard	class	Shannon equitability	CAMI_MED_S001	0.5652096455805449
Gold standard	order	Shannon diversity	CAMI_MED_S001	2.1822314262325015
Gold standard	order	Shannon equitability	CAMI_MED_S001	0.6480664415639618
Gold standard	family	Shannon diversity	CAMI_MED_S001	2.9611298701220017
Gold standard	family	Shannon equitability	CAMI_MED_S001	0.7458217014256647
Gold standard	genus	Shannon diversity	CAMI_MED_S001	3.1178139851022113
Gold standard	genus	Shannon equitability	CAMI_MED_S001	0.7314210954227827
Gold standard	species	Shannon diversity	CAMI_MED_S001	1.9378985685860681
Gold standard	species	Shannon equitability	CAMI_MED_S001	0.4531330046947705
Gold standard	strain	Shannon diversity	CAMI_MED_S001	4.058562112498776
Gold standard	strain	Shannon equitability	CAMI_MED_S001	0.745136369822279
Gold standard	species	F1 score	CAMI_MED_S001	1.0
Gold standard	species	False negatives	CAMI_MED_S001	0.0
Gold standard	species	False positives	CAMI_MED_S001	0.0
Gold standard	species	Jaccard index	CAMI_MED_S001	1.0
Gold standard	species	Taxon counts	CAMI_MED_S001	72.0
Gold standard	species	Purity (precision)	CAMI_MED_S001	1.0
Gold standard	species	Completeness (recall)	CAMI_MED_S001	1.0
Gold standard	species	True positives	CAMI_MED_S001	72.0
Gold standard	genus	F1 score	CAMI_MED_S001	1.0
Gold standard	genus	False negatives	CAMI_MED_S001	0.0
Gold standard	genus	False positives	CAMI_MED_S001	0.0
Gold standard	genus	Jaccard index	CAMI_MED_S001	1.0
Gold standard	genus	Taxon counts	CAMI_MED_S001	71.0
Gold standard	genus	Purity (precision)	CAMI_MED_S001	1.0
Gold standard	genus	Completeness (recall)	CAMI_MED_S001	1.0
Gold standard	genus	True positives	CAMI_MED_S001	71.0
Gold standard	phylum	F1 score	CAMI_MED_S001	1.0
Gold standard	phylum	False negatives	CAMI_MED_S001	0.0
Gold standard	phylum	False positives	CAMI_MED_S001	0.0
Gold standard	phylum	Jaccard index	CAMI_MED_S001	1.0
Gold standard	phylum	Taxon counts	CAMI_MED_S001	6.0
Gold standard	phylum	Purity (precision)	CAMI_MED_S001	1.0
Gold standard	phylum	Completeness (recall)	CAMI_MED_S001	1.0
Gold standard	phylum	True positives	CAMI_MED_S001	6.0
Gold standard	class	F1 score	CAMI_MED_S001	1.0
Gold standard	class	False negatives	CAMI_MED_S001	0.0
Gold standard	class	False positives	CAMI_MED_S001	0.0
Gold standard	class	Jaccard index	CAMI_MED_S001	1.0
Gold standard	class	Taxon counts	CAMI_MED_S001	15.0
Gold standard	class	Purity (precision)	CAMI_MED_S001	1.0
Gold standard	class	Completeness (recall)	CAMI_MED_S001	1.0
Gold standard	class	True positives	CAMI_MED_S001	15.0
Gold standard	strain	F1 score	CAMI_MED_S001	1.0
Gold standard	strain	False negatives	CAMI_MED_S001	0.0
Gold standard	strain	False positives	CAMI_MED_S001	0.0
Gold standard	strain	Jaccard index	CAMI_MED_S001	1.0
Gold standard	strain	Taxon counts	CAMI_MED_S001	232.0
Gold standard	strain	Purity (precision)	CAMI_MED_S001	1.0
Gold standard	strain	Completeness (recall)	CAMI_MED_S001	1.0
Gold standard	strain	True positives	CAMI_MED_S001	232.0
Gold standard	superkingdom	F1 score	CAMI_MED_S001	1.0
Gold standard	superkingdom	False negatives	CAMI_MED_S001	0.0
Gold standard	superkingdom	False positives	CAMI_MED_S001	0.0
Gold standard	superkingdom	Jaccard index	CAMI_MED_S001	1.0
Gold standard	superkingdom	Taxon counts	CAMI_MED_S001	3.0
Gold standard	superkingdom	Purity (precision)	CAMI_MED_S001	1.0
Gold standard	superkingdom	Completeness (recall)	CAMI_MED_S001	1.0
Gold standard	superkingdom	True positives	CAMI_MED_S001	3.0
Gold standard	family	F1 score	CAMI_MED_S001	1.0
Gold standard	family	False negatives	CAMI_MED_S001	0.0
Gold standard	family	False positives	CAMI_MED_S001	0.0
Gold standard	family	Jaccard index	CAMI_MED_S001	1.0
Gold standard	family	Taxon counts	CAMI_MED_S001	53.0
Gold standard	family	Purity (precision)	CAMI_MED_S001	1.0
Gold standard	family	Completeness (recall)	CAMI_MED_S001	1.0
Gold standard	family	True positives	CAMI_MED_S001	53.0
Gold standard	order	F1 score	CAMI_MED_S001	1.0
Gold standard	order	False negatives	CAMI_MED_S001	0.0
Gold standard	order	False positives	CAMI_MED_S001	0.0
Gold standard	order	Jaccard index	CAMI_MED_S001	1.0
Gold standard	order	Taxon counts	CAMI_MED_S001	29.0
Gold standard	order	Purity (precision)	CAMI_MED_S001	1.0
Gold standard	order	Completeness (recall)	CAMI_MED_S001	1.0
Gold standard	order	True positives	CAMI_MED_S001	29.0
Gold standard	class	L1 norm error	CAMI_MED_S001	0.0
Gold standard	family	L1 norm error	CAMI_MED_S001	0.0
Gold standard	genus	L1 norm error	CAMI_MED_S001	0.0
Gold standard	order	L1 norm error	CAMI_MED_S001	0.0
Gold standard	phylum	L1 norm error	CAMI_MED_S001	0.0
Gold standard	species	L1 norm error	CAMI_MED_S001	0.0
Gold standard	strain	L1 norm error	CAMI_MED_S001	0.0
Gold standard	superkingdom	L1 norm error	CAMI_MED_S001	0.0
Gold standard	na	Weighted UniFrac error	CAMI_MED_S001	0.0
Gold standard	na	Unweighted UniFrac error	CAMI_MED_S001	0.0
metalign_default	class	Bray-Curtis distance	CAMI_MED_S001	0.10519180880948013
metalign_default	family	Bray-Curtis distance	CAMI_MED_S001	0.24221583301150587
metalign_default	genus	Bray-Curtis distance	CAMI_MED_S001	0.4519252564574059
metalign_default	order	Bray-Curtis distance	CAMI_MED_S001	0.3206470023435834
metalign_default	phylum	Bray-Curtis distance	CAMI_MED_S001	0.06125070386797204
metalign_default	species	Bray-Curtis distance	CAMI_MED_S001	0.8357238918631166
metalign_default	strain	Bray-Curtis distance	CAMI_MED_S001	0.9833340333319335
metalign_default	superkingdom	Bray-Curtis distance	CAMI_MED_S001	0.35661272973313873
metalign_default	superkingdom	Shannon diversity	CAMI_MED_S001	0.011832225425056325
metalign_default	superkingdom	Shannon equitability	CAMI_MED_S001	0.010770155720177671
metalign_default	phylum	Shannon diversity	CAMI_MED_S001	0.9200886985780077
metalign_default	phylum	Shannon equitability	CAMI_MED_S001	0.5716832513200049
metalign_default	class	Shannon diversity	CAMI_MED_S001	1.5259004681112216
metalign_default	class	Shannon equitability	CAMI_MED_S001	0.5949047156320332
metalign_default	order	Shannon diversity	CAMI_MED_S001	2.162747870553403
metalign_default	order	Shannon equitability	CAMI_MED_S001	0.6805258771581654
metalign_default	family	Shannon diversity	CAMI_MED_S001	2.8314780219819027
metalign_default	family	Shannon equitability	CAMI_MED_S001	0.7728757683041052
metalign_default	genus	Shannon diversity	CAMI_MED_S001	3.106304364304061
metalign_default	genus	Shannon equitability	CAMI_MED_S001	0.755631154576603
metalign_default	species	Shannon diversity	CAMI_MED_S001	3.4770194860074484
metalign_default	species	Shannon equitability	CAMI_MED_S001	0.6235744662815316
metalign_default	strain	Shannon diversity	CAMI_MED_S001	3.47701948600745
metalign_default	strain	Shannon equitability	CAMI_MED_S001	0.6235744662815318
metalign_default	species	F1 score	CAMI_MED_S001	0.22023809523809523
metalign_default	species	False negatives	CAMI_MED_S001	35.0
metalign_default	species	False positives	CAMI_MED_S001	227.0
metalign_default	species	Jaccard index	CAMI_MED_S001	0.12374581939799331
metalign_default	species	Taxon counts	CAMI_MED_S001	264.0
metalign_default	species	Purity (precision)	CAMI_MED_S001	0.14015151515151514
metalign_default	species	Completeness (recall)	CAMI_MED_S001	0.5138888888888888
metalign_default	species	True positives	CAMI_MED_S001	37.0
metalign_default	genus	F1 score	CAMI_MED_S001	0.7272727272727273
metalign_default	genus	False negatives	CAMI_MED_S001	23.0
metalign_default	genus	False positives	CAMI_MED_S001	13.0
metalign_default	genus	Jaccard index	CAMI_MED_S001	0.5714285714285714
metalign_default	genus	Taxon counts	CAMI_MED_S001	61.0
metalign_default	genus	Purity (precision)	CAMI_MED_S001	0.7868852459016393
