tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness (recall)	Purity (precision)	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
metalign_default	CAMI_HIGH_S005	8.62453946803338	9275.99720267497	0.06602994839393254	0.9166666666666666	0.9166666666666666	0.9166666666666666	11.0	1.0	1.0	12.0	0.8461538461538461	1.2207249643076301	0.491255864445361	0.03301497419696627
metalign_precise	CAMI_HIGH_S005	8.763879786053373	9738.357348792364	0.06483836773210425	0.6666666666666666	1.0	0.8	8.0	0.0	4.0	8.0	0.6666666666666666	1.2126795335499276	0.5831755830800074	0.03241918386605212
metalign_sensitve	CAMI_HIGH_S005	8.803433631411258	57902.98964132404	0.18136794869568862	0.9166666666666666	0.5	0.6470588235294118	11.0	11.0	1.0	22.0	0.4782608695652174	1.1660823368885636	0.3772456556271666	0.09068397434784432
CLARK	CAMI_HIGH_S005	7.50876885133505	12122.00114526892	0.26465609455131167	1.0	0.27906976744186046	0.43636363636363634	12.0	31.0	0.0	43.0	0.27906976744186046	1.2370891903448915	0.3289081017474055	0.1323280472756558
CommonKmers	CAMI_HIGH_S005	9.846750510755852	10200.864266413946	0.24916264607017857	0.4166666666666667	0.8333333333333334	0.5555555555555556	5.0	1.0	7.0	6.0	0.38461538461538464	1.0925423538977117	0.6097594976676264	0.12458132303508931
FOCUS	CAMI_HIGH_S005	9.536079877381518	10055.871645380648	0.14765723155709046	0.75	0.45	0.5625000000000001	9.0	11.0	3.0	20.0	0.391304347826087	1.4962390960556458	0.4994568804643482	0.07382861577854523
Metaphlan2	CAMI_HIGH_S005	10.456179777093649	11033.42577206436	0.4973469497667389	0.5	1.0	0.6666666666666666	6.0	0.0	6.0	6.0	0.5	1.0609685823728772	0.592137840259315	0.24867347488336947
Metaphyler	CAMI_HIGH_S005	9.185039708126375	15229.012348969376	0.09225129599360836	0.9166666666666666	0.4782608695652174	0.6285714285714286	11.0	12.0	1.0	23.0	0.4583333333333333	1.2584094242871333	0.4013432453149097	0.04612564799680418
mOTU	CAMI_HIGH_S005	10.138406816052953	10394.126371717204	0.3674637292385398	0.5833333333333334	1.0	0.7368421052631579	7.0	0.0	5.0	7.0	0.5833333333333334	1.2259015578167727	0.6299887784705346	0.1837318646192699
Quickr	CAMI_HIGH_S005	9.128505305309641	13645.78926424673	0.41030012677224403	1.0	0.34285714285714286	0.5106382978723404	12.0	23.0	0.0	35.0	0.34285714285714286	2.055221479388537	0.5780647756123094	0.20515006338612204
Taxy-Pro1	CAMI_HIGH_S005	9.691290141778696	15230.406923404955	0.13925378650463582	1.0	0.41379310344827586	0.5853658536585366	12.0	17.0	0.0	29.0	0.41379310344827586	1.3588530918296315	0.4035443158063988	0.06962689325231793
Taxy-Pro2	CAMI_HIGH_S005	7.49736691449363	10221.035226760914	0.1426457811657276	1.0	0.36363636363636365	0.5333333333333333	12.0	21.0	0.0	33.0	0.36363636363636365	1.3626607708906109	0.3897205273936526	0.0713228905828638
TIPP	CAMI_HIGH_S005	9.384674217526042	10792.428599752122	0.2158833272303342	1.0	0.5217391304347826	0.6857142857142856	12.0	11.0	0.0	23.0	0.5217391304347826	1.1644322425087443	0.3533039679601711	0.10794166361516712
